lag, p_j, Ljung_Box_Q, p-value
1, 0.09697920464395375, 7.345314862775539, 0.006723775465800275
2, 0.14002709614070247, 22.678650547967713, 1.1895798659788959e-05
3, 0.019239652073657118, 22.968496290366073, 4.099823120851109e-05
4, 0.049899622672227695, 24.92071181559008, 5.219065291495184e-05
5, 0.026568132890961594, 25.474848338843135, 0.00011279040722900202
6, 0.012556194147494882, 25.59877733842889, 0.00026439944635159307
7, -0.025423238876506802, 26.10750057829395, 0.0004818694788201183
8, 0.0033702235789502474, 26.116452183082206, 0.0010031722410761557
9, -0.045654575974128815, 27.761265020701142, 0.0010455174424288671
10, -0.06089252694511663, 30.69108525188258, 0.0006597472141475214
11, 0.08458603047625801, 36.35186326942118, 0.00014787853532627349
12, 0.03306203406421148, 37.21783670135024, 0.00020594109554183948
13, 0.05311980315954782, 39.45617475740435, 0.00016902608791791174
14, 0.015268404510720847, 39.64134370393277, 0.00029012617235923965
15, 0.01526734729406518, 39.8267296601443, 0.0004816247944640084
16, -0.024996305317753438, 40.324318773313664, 0.0006980313719563425
17, 0.07402525276223834, 44.693995824754026, 0.000270396231512815
18, 0.02477969796127828, 45.18428536067469, 0.00038975772959226607
19, 0.12028767379101478, 56.75272210768386, 1.2481298851341194e-05
20, 0.004931466656794089, 56.77219171517437, 2.222432637899452e-05
21, 0.031242978146531597, 57.55468959638136, 2.9728828621733427e-05
22, 0.021858314590486563, 57.93820759335554, 4.486834382400051e-05
23, -0.008135398221256647, 57.99140431641238, 7.41558545415133e-05
24, 0.02856961538792976, 58.648323041670594, 9.887071190284313e-05
25, -0.04061193949812881, 59.977511876395205, 0.00010530348897030972
26, -0.060142987320792915, 62.896459826076985, 6.759434785708063e-05
27, -0.008982753203995868, 62.9616606672, 0.00010650619592378341
28, -0.05781393318302909, 65.66610451520864, 7.330951624184845e-05
29, 0.026197190966928813, 66.22213913681908, 9.787366242064444e-05
30, 0.033690967233849026, 67.1430117568722, 0.00011590072666112228
31, 0.010244420452951939, 67.22826843103414, 0.00017453568127701047
32, 0.0942399372466407, 74.45272773027364, 3.1015522448218924e-05
33, -0.027774532814193287, 75.08109195657117, 4.029181006592886e-05
34, -0.018389747817693092, 75.35692914124944, 5.7629279992532645e-05
35, -0.004797859739422226, 75.37573012098129, 8.779795541524749e-05
36, 0.07519566743901407, 80.00013585902201, 3.4703230322064016e-05
37, 0.012129558369812018, 80.12062446207455, 5.132290485143631e-05
38, 0.04822597103289991, 82.02786048927588, 4.492290818058908e-05
39, -0.032050384521325526, 82.87138217056273, 5.332761137533115e-05
40, -0.03873582474567839, 84.1051784385964, 5.642029086427858e-05
